evaluation,best_fitness,avg_fitness,diversity,best_explored_fraction,best_detected_victims,best_rescued_victims,best_collisions,best_mean_localization_error,best_overlap_ratio
0,1505.691290335894,228.37201227365586,3781.1488681884275,0.3812987012987013,4,3,0,8.677171473334996,0.0
1,1505.691290335894,669.0630973339547,3681.2434374286713,0.3812987012987013,4,3,0,8.677171473334996,0.0
2,2223.104976105837,1172.83264173776,3656.0257266838275,0.6316883116883117,8,4,0,20.691740691023366,0.0
3,2223.104976105837,1255.8051674580681,3702.330256901226,0.6316883116883117,8,4,0,20.691740691023366,0.0
4,2223.104976105837,1334.091568478924,3748.110248837472,0.6316883116883117,8,4,0,20.691740691023366,0.0
5,2223.104976105837,1389.5917470992729,4043.386335221421,0.6316883116883117,8,4,0,20.691740691023366,0.0
6,2233.967217788947,1486.6766106685536,4007.887689444235,0.707012987012987,7,4,0,31.661517643410072,0.0
7,2233.967217788947,1522.5053771571813,3680.6556124960503,0.707012987012987,7,4,0,31.661517643410072,0.0
8,2233.967217788947,1565.2679824200022,3679.95115988022,0.707012987012987,7,4,0,31.661517643410072,0.0
9,2233.967217788947,1601.488727396176,3785.557576312682,0.707012987012987,7,4,0,31.661517643410072,0.0
10,2233.967217788947,1640.1648046456235,4124.540424569101,0.707012987012987,7,4,0,31.661517643410072,0.0
11,2233.967217788947,1702.5594764038833,4563.561888334622,0.707012987012987,7,4,0,31.661517643410072,0.0
12,2592.6730568475964,1800.0269387105945,4685.004893699297,0.642077922077922,8,5,0,16.744314098864212,0.0
13,2592.6730568475964,1828.6726675025918,5028.7082205586275,0.642077922077922,8,5,0,16.744314098864212,0.0
14,2592.6730568475964,1828.6726675025918,5028.7082205586275,0.642077922077922,8,5,0,16.744314098864212,0.0
15,2592.6730568475964,1828.6726675025918,5028.7082205586275,0.642077922077922,8,5,0,16.744314098864212,0.0
16,2592.6730568475964,1852.6627160263517,5011.716725205497,0.642077922077922,8,5,0,16.744314098864212,0.0
17,2592.6730568475964,1921.2197788940628,4714.037451362106,0.642077922077922,8,5,0,16.744314098864212,0.0
18,2592.6730568475964,1945.0499893133506,4599.3489019843055,0.642077922077922,8,5,0,16.744314098864212,0.0
19,2592.6730568475964,1954.7541645974513,4251.184525492609,0.642077922077922,8,5,0,16.744314098864212,0.0
20,2592.6730568475964,1954.7541645974513,4251.184525492609,0.642077922077922,8,5,0,16.744314098864212,0.0
21,2592.6730568475964,1954.7541645974513,4251.184525492609,0.642077922077922,8,5,0,16.744314098864212,0.0
22,2592.6730568475964,1976.5156092130526,4210.689200194038,0.642077922077922,8,5,0,16.744314098864212,0.0
23,2592.6730568475964,2031.8434904216276,3567.3929210432825,0.642077922077922,8,5,0,16.744314098864212,0.0
24,2592.6730568475964,2034.7639272483834,3660.6376757665134,0.642077922077922,8,5,0,16.744314098864212,0.0
25,2592.6730568475964,2034.7639272483834,3660.6376757665134,0.642077922077922,8,5,0,16.744314098864212,0.0
26,2592.6730568475964,2042.614081469393,2993.8235433698974,0.642077922077922,8,5,0,16.744314098864212,0.0
27,2592.6730568475964,2042.614081469393,2993.8235433698974,0.642077922077922,8,5,0,16.744314098864212,0.0
28,2592.6730568475964,2085.2856453611016,2954.56264104048,0.642077922077922,8,5,0,16.744314098864212,0.0
29,2592.6730568475964,2106.806452221643,2790.160417852801,0.642077922077922,8,5,0,16.744314098864212,0.0
30,2592.6730568475964,2106.806452221643,2790.160417852801,0.642077922077922,8,5,0,16.744314098864212,0.0
31,2592.6730568475964,2137.2723857877704,2080.6901888128104,0.642077922077922,8,5,0,16.744314098864212,0.0
32,2592.6730568475964,2145.725536067188,1482.6486261351488,0.642077922077922,8,5,0,16.744314098864212,0.0
33,2592.6730568475964,2145.725536067188,1482.6486261351488,0.642077922077922,8,5,0,16.744314098864212,0.0
34,2592.6730568475964,2152.3211435096064,1421.9634232018734,0.642077922077922,8,5,0,16.744314098864212,0.0
35,2592.6730568475964,2152.3211435096064,1421.9634232018734,0.642077922077922,8,5,0,16.744314098864212,0.0
36,2592.6730568475964,2155.5611978808683,1422.4232817933369,0.642077922077922,8,5,0,16.744314098864212,0.0
37,2592.6730568475964,2155.5611978808683,1422.4232817933369,0.642077922077922,8,5,0,16.744314098864212,0.0
38,2592.6730568475964,2155.5611978808683,1422.4232817933369,0.642077922077922,8,5,0,16.744314098864212,0.0
39,2592.6730568475964,2179.0947858538466,1364.6225095410819,0.642077922077922,8,5,0,16.744314098864212,0.0
