step,time_s,rescued,detected,explored_pct,slam_error_px,collisions,repeated_visits,blockage_active
6480,108.0,0,4,48.31,13.17,6480,0,0
6540,109.0,0,4,48.31,14.13,6540,0,0
6600,110.0,0,4,48.31,12.88,6600,0,0
6660,111.0,0,4,48.31,13.28,6660,0,0
6720,112.0,0,4,48.31,13.97,6720,0,0
6780,113.0,0,4,48.31,13.78,6780,0,0
6840,114.0,0,4,48.31,14.5,6840,0,0
6900,115.0,0,4,48.31,14.37,6900,0,0
6960,116.0,0,4,48.31,15.05,6960,0,0
7020,117.0,0,4,48.31,12.88,7020,0,0
7080,118.0,0,4,48.31,13.49,7080,0,0
7140,119.0,0,4,48.31,12.97,7140,0,0
7200,120.0,0,4,48.31,14.72,7200,0,0
7260,121.0,0,4,48.31,15.88,7260,0,0
7320,122.0,0,4,48.31,14.43,7320,0,0
7380,123.0,0,4,48.31,13.6,7380,0,0
7440,124.0,0,4,48.31,13.34,7440,0,0
7500,125.0,0,4,48.31,14.52,7500,0,0
7560,126.0,0,4,48.31,14.67,7560,0,0
7620,127.0,0,4,48.31,13.99,7620,0,0
7680,128.0,0,4,48.31,13.97,7680,0,0
7740,129.0,0,4,48.31,13.04,7740,0,0
7800,130.0,0,4,48.31,15.51,7800,0,0
7860,131.0,0,4,48.31,14.78,7860,0,0
7920,132.0,0,4,48.31,15.28,7920,0,0
7980,133.0,0,4,48.31,14.31,7980,0,0
8040,134.0,0,4,48.31,14.31,8040,0,0
8100,135.0,0,4,48.31,14.53,8100,0,0
8160,136.0,0,4,48.31,14.78,8160,0,0
8220,137.0,0,4,48.31,13.33,8220,0,0
8280,138.0,0,4,48.31,14.79,8280,0,0
8340,139.0,0,4,48.31,15.09,8340,0,0
8400,140.0,0,4,48.31,15.02,8400,0,0
8460,141.0,0,4,48.31,13.85,8460,0,0
8520,142.0,0,4,48.31,11.77,8520,0,0
8580,143.0,0,4,48.31,14.55,8580,0,0
8640,144.0,0,4,48.31,14.69,8640,0,0
8700,145.0,0,4,48.31,13.45,8700,0,0
8760,146.0,0,4,48.31,13.73,8760,0,0
8820,147.0,0,4,48.31,13.94,8820,0,0
8880,148.0,0,4,48.31,13.73,8880,0,0
8940,149.0,0,4,48.31,13.96,8940,0,0
9000,150.0,0,4,48.31,14.03,9000,0,0
9060,151.0,0,4,48.31,12.97,9060,0,0
9120,152.0,0,4,48.31,13.56,9120,0,0
9180,153.0,0,4,48.31,13.31,9180,0,0
9240,154.0,0,4,48.31,13.86,9240,0,0
9300,155.0,0,4,48.31,13.58,9300,0,0
9360,156.0,0,4,48.31,13.8,9360,0,0
9420,157.0,0,4,48.31,15.0,9420,0,0
9480,158.0,0,4,48.31,13.7,9480,0,0
9540,159.0,0,4,48.31,14.77,9540,0,0
9600,160.0,0,4,48.31,14.67,9600,0,0
9660,161.0,0,4,48.31,13.65,9660,0,0
9720,162.0,0,4,48.31,12.46,9720,0,0
9780,163.0,0,4,48.31,15.05,9780,0,0
9840,164.0,0,4,48.31,12.41,9840,0,0
9900,165.0,0,4,48.31,12.99,9900,0,0
9960,166.0,0,4,48.31,13.14,9960,0,0
10020,167.0,0,4,48.31,12.34,10020,0,0
10080,168.0,0,4,48.31,14.18,10080,0,0
10140,169.0,0,4,48.31,13.77,10140,0,0
10200,170.0,0,4,48.31,12.51,10200,0,0
10260,171.0,0,4,48.31,12.96,10260,0,0
10320,172.0,0,4,48.31,12.56,10320,0,0
10380,173.0,0,4,48.31,12.24,10380,0,0
10440,174.0,0,4,48.31,12.83,10440,0,0
10500,175.0,0,4,48.31,13.21,10500,0,0
10560,176.0,0,4,48.31,13.44,10560,0,0
10620,177.0,0,4,48.31,13.12,10620,0,0
10680,178.0,0,4,48.31,12.53,10680,0,0
10740,179.0,0,4,48.31,12.52,10740,0,0
10800,180.0,0,4,48.31,14.3,10800,0,0
10860,181.0,0,4,48.31,12.63,10860,0,0
10920,182.0,0,4,48.31,12.66,10920,0,0
10980,183.0,0,4,48.31,12.05,10980,0,0
11040,184.0,0,4,48.31,11.5,11040,0,0
11100,185.0,0,4,48.31,11.79,11100,0,0
11160,186.0,0,4,48.31,12.26,11160,0,0
